ABC;Aeropuerto de Albacete;2003
AGP;Aeropuerto de Malaga-Costa del Sol;29067
BCN;Aeropuerto de Barcelona-El Prat;8019
BOD;Aeropuerto de Nurdeos-Merignac;0000
CDT;Aeropuerto de Castellon;46257
COC;Aeropuerto Comodoro Pierrestegui;0000
CMN;Aeropuerto Internacional Mohammed V;0000
DME;Aeropuerto Internacional de Mosci-Domodedovo;0000
DXB;Aeropuerto Internacional de Dubai;0000
EDI;Aeropuerto de Edimburgo;0000
ESR;Aerodromo Ricardo Garcia Posada;0000
FCO;Aeropuerto de Roma-Fiumicino;0000
FMA;Aeropuerto Internacional de Formosa;0000
GIB;Aeropuerto de Gibraltar;0000
GRX;Aeropuerto de Granada;18087
HAM;Aeropuerto de Hamburgo;0000
HKG;Aeropuerto Internacional de Hong Kong;0000
IBZ;Aeropuerto de Ibiza;0000
ICN;Aeropuerto Internacional de Incheon;0000
JAA;Aeropuerto de Jalalabad;0000
JUJ;Aeropuerto Internacional Gobernador Horacio Guzman;0000
KBL;Aeropuerto Internacional de Kabul;0000
KEF;Aeropuerto Internacional de Keflavik;0000
LAX;Aeropuerto Internacional de los Angeles;0000
LEI;Aeropuerto de Almeria;4013
MAD;Aeropuerto Adolfo Suarez Madrid-Barajas;28079
MUC;Aeropuerto Internacional de Munich-Franz Josef Strauss;0000
NAP;Aeropuerto de Napoles-Capodichino;0000
NLK;Aeropuerto de la Isla Norfolk;0000
OPO;Aeropuerto de Francisco Sa Carneiro;0000
ORA;Aero Club Oran;0000
PDL ;Aeropuerto Ponta Delgada - Joao Paulo II;0000
PXO;Aeropuerto de Porto Santo;0000
QGY;Aeropuerto Internacional de Gyor-Per;0000
QSA;Aeropuerto de Sabadell;0000
RAK;Aeropuerto de Marrakech-Menara;0000
REU;Aeropuerto de Reus;43123
SFN;Aeropuerto de Sauce Viejo;0000
SVQ;Aeropuerto de Sevilla;41091
TGU;Aeropuerto de Toncontin;0000
TRS;Aeropuerto de Trieste - Friuli Venezia Giulia;0000
UIO;Aeropuerto Internacional Mariscal Sucre;0000
UZU;Aeropuerto de Curuzu Cuatia;0000
VLC;Aeropuerto de Valencia;2508
VGO;Aeropuerto de Vigo;36057
WLG;Aeropuerto Internacional de Wellington;0000
XRY;Aeropuerto de Jerez;11020
XPL;Aeropuerto Internacional de Comayagua;0000
YOW;Aeropuerto Internacional de Ottawa;0000
YVM;Aeropuerto de Qikiqtarjuaq;0000
ZAG;Aeropuerto de Zagreb-Pleso;0000
ZAZ;Aeropuerto de Zaragoza;50297
